city,neighborhood,property_type,square_meters,num_bedrooms,num_bathrooms,floor_level,year_built,heating_type,distance_to_center_km,price_eur,price_per_sq_meter,house_age
Vlore,central,house,96.0,5.0,2.0,1.0,2014.0,electric,6.5,77952.0,812.0,11.0
Fier,suburban,house,121.0,1.0,2.0,0.0,1986.0,electric,13.2,170247.0,1407.0,39.0
Shkoder,suburban,villa,89.0,1.0,1.0,1.0,2013.0,none,9.8,97633.0,1097.0,12.0
Fier,central,commercial,162.0,3.0,2.0,-1.0,1988.0,none,12.6,527472.0,3256.0,37.0
Fier,rural,commercial,122.0,4.0,2.0,-1.0,1998.0,electric,7.7,150914.0,1237.0,27.0
Durres,suburban,house,57.0,3.0,2.0,1.0,2012.0,central,8.3,50901.0,893.0,13.0
Shkoder,suburban,villa,148.0,4.0,2.0,1.0,1998.0,none,2.6,138676.0,937.0,27.0
Shkoder,suburban,house,96.0,2.0,2.0,0.0,1960.0,central,11.9,151680.0,1580.0,65.0
Shkoder,central,house,75.0,2.0,1.0,-1.0,1976.0,central,6.6,72750.0,970.0,49.0
Fier,suburban,house,119.0,5.0,1.0,0.0,2000.0,none,7.8,211820.0,1780.0,25.0
Vlore,rural,villa,145.0,4.0,2.0,0.0,1989.0,central,11.9,174725.0,1205.0,36.0
Shkoder,suburban,commercial,248.0,5.0,2.0,0.0,2012.0,central,9.2,411680.0,1660.0,13.0
Elbasan,suburban,villa,162.0,1.0,1.0,-1.0,1972.0,electric,3.4,198126.0,1223.0,53.0
Fier,rural,apartment,93.0,4.0,2.0,0.0,1980.0,central,9.1,99138.0,1066.0,45.0
Durres,suburban,villa,221.0,3.0,1.0,0.0,1978.0,electric,6.4,320008.0,1448.0,47.0
Vlore,central,villa,93.0,1.0,2.0,0.0,2012.0,none,7.3,179955.0,1935.0,13.0
Elbasan,central,villa,109.0,1.0,2.0,0.0,1978.0,none,0.9,271410.0,2490.0,47.0
Elbasan,central,villa,191.0,3.0,2.0,0.0,2016.0,electric,3.5,310757.0,1627.0,9.0
Durres,rural,commercial,180.0,1.0,2.0,0.0,1984.0,none,4.6,205560.0,1142.0,41.0
Vlore,suburban,apartment,197.0,4.0,2.0,-1.0,1981.0,central,10.8,137900.0,700.0,44.0
Fier,central,commercial,75.0,5.0,2.0,0.0,1990.0,central,0.7,202725.0,2703.0,35.0
Tirana,rural,commercial,64.0,1.0,2.0,1.0,1976.0,central,6.4,109632.0,1713.0,49.0
Vlore,suburban,villa,86.0,4.0,1.0,0.0,2014.0,none,13.9,82818.0,963.0,11.0
Durres,rural,house,195.0,2.0,1.0,0.0,1982.0,central,2.1,249210.0,1278.0,43.0
Elbasan,central,house,137.0,4.0,1.0,-1.0,1991.0,none,8.0,186868.0,1364.0,34.0
